iter	MultiClass
0	1.727994329
1	1.604935462
2	1.570675103
3	1.473939561
4	1.399067405
5	1.311691313
6	1.171405457
7	1.086671976
8	1.003883764
9	0.9149035502
10	0.8531027385
11	0.8008857295
12	0.7448701322
13	0.6877102686
14	0.6453523457
15	0.59413612
16	0.5488317114
17	0.5183498379
18	0.4825829112
19	0.4755151281
20	0.4571207091
21	0.4485103081
22	0.4314055368
23	0.418361538
24	0.3987535232
25	0.3901326509
26	0.3677014683
27	0.3522125155
28	0.3390860658
29	0.3191854586
30	0.3105847695
31	0.3034094892
32	0.2856668147
33	0.2692440475
34	0.2593994376
35	0.2499800019
36	0.2364965983
37	0.2312872256
38	0.2286300675
39	0.2126067623
40	0.2084928263
41	0.2024037211
42	0.1959430585
43	0.1829371591
44	0.1773950419
45	0.1689075277
46	0.1610783586
47	0.1563704844
48	0.1468417568
49	0.1456490933
50	0.1400327772
51	0.1347385381
52	0.1298336175
53	0.122494536
54	0.1182119931
55	0.1117950063
56	0.1058758274
57	0.1004078213
58	0.09830169552
59	0.09339938906
60	0.08885518167
61	0.08463710969
62	0.08071646678
63	0.07706743613
64	0.07366676832
65	0.07049349859
66	0.06752869811
67	0.06475525484
68	0.06215768012
69	0.05972193764
70	0.05743529204
71	0.05528617465
72	0.05326406437
73	0.05135938169
74	0.04956339445
75	0.04786813385
76	0.04626631953
77	0.04524720114
78	0.04378630816
79	0.04240236418
80	0.04109008814
81	0.03984463071
82	0.03866153421
83	0.03791269354
84	0.03718055135
85	0.03612708505
86	0.0351235538
87	0.03416682205
88	0.03355960205
89	0.0326741429
90	0.03182825851
91	0.03101958617
92	0.03024593452
93	0.02950526918
94	0.0287956998
95	0.02835406325
96	0.02769173944
97	0.02705613452
98	0.02644578975
99	0.02585934417
100	0.0252955269
101	0.02494678534
102	0.02441752995
103	0.0239079306
104	0.02358951017
105	0.02311003191
106	0.02264771262
107	0.02220171024
108	0.02177123399
109	0.02135554067
110	0.0209539313
111	0.0207055447
112	0.02032552496
113	0.01995794071
114	0.01960222908
115	0.01925785905
116	0.01892432928
117	0.01860116615
118	0.01828792197
119	0.0179841733
120	0.01779798538
121	0.01750880843
122	0.01722812167
123	0.0169555771
124	0.01669084468
125	0.01643361121
126	0.01618357931
127	0.01594046649
128	0.01570400424
129	0.01555965898
130	0.01533342869
131	0.01511320712
132	0.01489876978
133	0.0146899028
134	0.01456200205
135	0.01443562245
136	0.01423853421
137	0.01404638975
138	0.01392931586
139	0.01374479942
140	0.01363271988
141	0.01345539657
142	0.01328232879
143	0.01311337188
144	0.01301127902
145	0.01284865391
146	0.01275032262
147	0.01265389616
148	0.01255874431
149	0.01240643705
150	0.01225755782
151	0.01211199689
152	0.01196964899
153	0.01183041315
154	0.01169419244
155	0.01161259001
156	0.01153108704
157	0.01140122021
158	0.0112740829
159	0.01114959317
160	0.01107531392
161	0.01095489837
162	0.01088323548
163	0.01076670041
164	0.01065250249
165	0.01058428892
166	0.01047369454
167	0.01036526819
168	0.01025894895
169	0.01015467811
170	0.01009186574
171	0.009990768414
172	0.009930870485
173	0.00983278668
174	0.009736527059
175	0.009642042872
176	0.009585850689
177	0.009529749471
178	0.009439009734
179	0.009349900753
180	0.009262380346
181	0.009209951911
182	0.009172209752
183	0.009087804012
184	0.009004867359
185	0.008923362936
186	0.008843255081
187	0.008795841675
188	0.008749177475
189	0.008702409716
190	0.008626008122
191	0.00858097359
192	0.008506581327
193	0.008461929176
194	0.008389488809
195	0.008318226334
196	0.008276457818
197	0.008207007328
198	0.008166378581
199	0.00809867243
